file_name,bbox,center_coordinates,detected_text
GS__1623.JPG,"3053,807,3174,928","3113,867",( تروهحاشائ ذُنانا
GS__1624.JPG,"3323,677,3471,817","3397,747", كرومخاشافذنان
GS__1625.JPG,"3542,467,3757,659","3649,563",١ روعشاذاذان
GS__1627.JPG,"745,1483,854,1536","799,1509",بوشا ٢٥ ٢١ ٠ ٠٩ 4٢٢
GS__1631.JPG,"3272,1220,3347,1277","3309,1248",اٰٰ ار
GS__1632.JPG,"1536,1371,1683,1486","1609,1428",تتراطاذ راو1 بازاز ضزل لا  کاء عإارز پك 4 مه بت - اظنب ور
GS__1632.JPG,"3675,1177,3919,1320","3797,1248",أفه ا 
GS__1635.JPG,"3571,668,3628,706","3599,687",ت
GS__1643.JPG,"2081,1231,2135,1257","2108,1244", ٩5
GS__1644.JPG,"1259,1169,1768,1292","1513,1230",رباریت پامچال ف 
GS__1645.JPG,"918,1328,1002,1358","960,1343",36099683|
GS__1648.JPG,"3841,1285,3921,1316","3881,1300",بى ٤٤
GS__1649.JPG,"3688,1314,4020,1508","3854,1411",//1
GS__1651.JPG,"3548,1280,3579,1401","3563,1340",
GS__1656.JPG,"1623,885,1670,905","1646,895",7
GS__1658.JPG,"1060,894,1255,951","1157,922",کروء -ا حعای اه0 ٤
GS__1671.JPG,"1676,1297,1824,1357","1750,1327",ا؟أنللاي 
GS__1672.JPG,"718,1401,824,1450","771,1425",پالالاي ؤز
GS__1674.JPG,"1461,1393,1531,1435","1496,1414",ف!'نبظ
GS__1676.JPG,"4206,561,4737,1131","4471,846",م
GS__1679.JPG,"1767,1263,1855,1306","1811,1284",٢٦٠٤٥٩٩٤ جعد ز ادم
GS__1679.JPG,"1880,1268,1963,1313","1921,1290",بابا
GS__1679.JPG,"1546,1388,1590,1415","1568,1401",08
GS__1679.JPG,"1658,1397,1766,1428","1712,1412",هایپرعلی بابا
GS__1680.JPG,"879,1360,952,1398","915,1379",هسالر
GS__1680.JPG,"1004,1332,1277,1385","1140,1358",ماچوعلی بابا
GS__1680.JPG,"639,1392,700,1436","669,1414",٢٤٠٤٥٩٩٤ حیدزاد:
GS__1681.JPG,"3878,1154,4113,1212","3995,1183",نیک برق وکولر خودروا دلسؤن
GS__1681.JPG,"3714,1221,3778,1258","3746,1239",چوِلیلای
GS__1681.JPG,"3905,1335,3934,1355","3919,1345",٥د
GS__1682.JPG,"3545,1147,3661,1276","3603,1211",00 عابربانگ / قهو آ
GS__1682.JPG,"4437,1238,4661,1313","4549,1275",جلوبندی امیر مقحع
GS__1682.JPG,"1762,1379,1829,1410","1795,1394",؟٥١٧خ
GS__1683.JPG,"3747,1225,3964,1294","3855,1259",قنظیوم پغار9 ٧37٤1
GS__1683.JPG,"4095,1242,4211,1291","4153,1266",سیم کشی
GS__1683.JPG,"4262,1121,4925,1352","4593,1236",س666 دارکق 0915&0030  کامل / /من کارت  ررأيکه 7 عابربانک / قهوه اسپرسو | پروتئینی صه  ث 
GS__1683.JPG,"1082,1411,1136,1442","1109,1426",٧5|؟
GS__1684.JPG,"3695,1211,3921,1307","3808,1259",سرویس دضسا روغن اتومبيل داى ابرانى وخارج گىربك اتومان ٥٠٥٠٢
GS__1684.JPG,"3962,1157,4245,1283","4103,1220",گلاستمی گ
GS__1684.JPG,"4026,1317,4281,1396","4153,1356",ئ٤؟ر٩آ
GS__1684.JPG,"4988,1309,5215,1416","5101,1362",}ا٥إ؟ا الزولا ئقژ٣ر شم مر بخادق
GS__1684.JPG,"660,1421,703,1441","681,1431",٥١٧5ت
GS__1685.JPG,"2775,1226,2957,1278","2866,1252",ثذسدد ولينو 7
GS__1685.JPG,"4161,1245,4249,1265","4205,1255",بك آءمان
GS__1685.JPG,"4247,1214,4692,1335","4469,1274",ترولر اتو سرویس د تعويض روغق اتومیيل شاى اثیواتی وخارجی اترنر را
GS__1686.JPG,"3635,1183,3740,1251","3687,1217",هتین
GS__1686.JPG,"1155,1222,1383,1388","1269,1305",خلمق غغلفنا ن٢ا اا_ !١٧ إ؛ر ٢،ا٠ 233
GS__1686.JPG,"1261,1468,1326,1506","1293,1487",ثارژکر
GS__1686.JPG,"4152,1184,4257,1246","4204,1215",كشاءانا
GS__1687.JPG,"1816,1415,1856,1446","1836,1430",^$
GS__1690.JPG,"3484,978,3593,1031","3538,1004",0413
GS__1694.JPG,"1109,1384,1185,1415","1147,1399",؟9
GS__1694.JPG,"4636,1411,4740,1442","4688,1426",گروه ساختمانی
GS__1694.JPG,"1107,1467,1288,1540","1197,1503",جالكم 320چ !4525
GS__1694.JPG,"1219,1368,1303,1407","1261,1387",؟0?
GS__1696.JPG,"1199,1293,1379,1379","1289,1336",اگا
GS__1702.JPG,"473,716,778,985","625,850",0
GS__1706.JPG,"4372,1442,4554,1614","4463,1528",خ چ | ?) @
GS__1709.JPG,"2005,1415,2094,1446","2049,1430",٠٩١٥٨٥٧٤٣٥
GS__1709.JPG,"1517,1449,1592,1498","1554,1473",666
GS__1710.JPG,"4726,1650,4830,1699","4778,1674",١٢٠٤٧؟٠٨١٥
GS__1711.JPG,"4634,1439,4739,1499","4686,1469",؟٥٧
GS__1735.JPG,"5299,898,5374,996","5336,947",٣
GS__1735.JPG,"3968,1556,4095,1601","4031,1578",٠٩١٥٦٥٠٠٠١٢
GS__1738.JPG,"3346,1366,3417,1392","3381,1379",٥٥٥
GS__1745.JPG,"750,948,834,1023","792,985",اا
GS__1745.JPG,"777,1328,910,1423","843,1375",مشما
GS__1754.JPG,"1639,1165,1783,1230","1711,1197",نازگ
GS__1756.JPG,"3567,1186,3696,1261","3631,1223",رایشگاه .
GS__1757.JPG,"4737,1337,4957,1457","4847,1397",آوایشگاه ل7
GS__1759.JPG,"1640,1055,1671,1104","1655,1079",(
GS__1762.JPG,"2414,1086,2521,1163","2467,1124",اامارئت ]
GS__1763.JPG,"952,1187,1272,1315","1112,1251",|9 امآرکت
GS__1763.JPG,"251,1440,336,1494","293,1467",طباطبائی
GS__1764.JPG,"2788,1127,2909,1154","2848,1140",زيبايئ   خودرو  مالتل
GS__1764.JPG,"554,1409,724,1481","639,1445",نور مارکت ٢٠٩١٥٠٧٥
GS__1764.JPG,"100,1450,274,1547","187,1498",  مارثت
GS__1765.JPG,"3928,1132,4120,1231","4024,1181",مانتل  خودرو زیبایح
GS__1772.JPG,"3491,1136,3646,1220","3568,1178",5لئ٧| ٤11445=7 01|47573 ٠٥١٧٦٥٢٢
GS__1773.JPG,"4615,1247,4874,1390","4744,1318",چدف لاتومپیل خلمات ولگ لچاوگرا د بودخگیلاالی دیلثی ٥٢٠٢٠ ٥٥٥٥٥٧
GS__1780.JPG,"1196,1376,1267,1412","1231,1394",فبلمان خلله
GS__1783.JPG,"3365,620,3475,635","3420,627",اا٨د  ا بدم
GS__1783.JPG,"3303,545,3389,596","3346,570",آه
GS__1784.JPG,"1478,349,1941,897","1709,623",٨_
GS__1792.JPG,"3968,1327,4068,1391","4018,1359",٥؟
GS__1795.JPG,"5303,920,5339,947","5321,933",[3
GS__1795.JPG,"5411,885,5512,925","5461,905",كروهساخمانى
GS__1796.JPG,"5534,1025,5608,1045","5571,1035",رودساختمانى
GS__1799.JPG,"924,1509,1078,1551","1001,1530",ساز ٠٣٦٥١١١٣
GS__1814.JPG,"3802,1100,3989,1205","3895,1152",زیبایی آرا حسینیور
GS__1815.JPG,"5035,1358,5108,1422","5071,1390",ٰرزا د
GS__1819.JPG,"3908,637,4110,668","4009,652",;77==_=
