file_name,bbox,center_coordinates,detected_text,azimuth,longitude,latitude
GS__1687,"1816,1415,1856,1446","1836,1430",^$,398.75,59.51407030555556,36.3398705
GS__1690,"3484,978,3593,1031","3538,1004",0413,144.125,59.51449111111111,36.33979569444445
GS__1694,"1109,1384,1185,1415","1147,1399",؟9,353.6875,59.515062,36.33968711111111
GS__1694,"4636,1411,4740,1442","4688,1426",گروه ساختمانی,215.0,59.515062,36.33968711111111
GS__1694,"1107,1467,1288,1540","1197,1503",جالكم 320چ !4525,356.8125,59.515062,36.33968711111111
GS__1694,"1219,1368,1303,1407","1261,1387",؟0?,360.8125,59.515062,36.33968711111111
GS__1696,"1199,1293,1379,1379","1289,1336",اگا,360.5625,59.5153485,36.3396465
GS__1702,"473,716,778,985","625,850",0,319.0625,59.51639138888889,36.33946311111112
GS__1706,"4372,1442,4554,1614","4463,1528",خ چ | ?) @,200.9375,59.5170214,36.33935511111111
GS__1709,"2005,1415,2094,1446","2049,1430",٠٩١٥٨٥٧٤٣٥,408.0625,59.5174451,36.33928111111111
GS__1709,"1517,1449,1592,1498","1554,1473",666,377.125,59.5174451,36.33928111111111
GS__1710,"4726,1650,4830,1699","4778,1674",١٢٠٤٧؟٠٨١٥,221.625,59.5175586,36.33925961111111
GS__1711,"4634,1439,4739,1499","4686,1469",؟٥٧,214.875,59.5176484,36.33924430555556
GS__1735,"5299,898,5374,996","5336,947",٣,254.5,59.52110169444445,36.33862930555556
GS__1735,"3968,1556,4095,1601","4031,1578",٠٩١٥٦٥٠٠٠١٢,172.9375,59.52110169444445,36.33862930555556
GS__1738,"3346,1366,3417,1392","3381,1379",٥٥٥,133.3125,59.521644888888886,36.338532
GS__1745,"750,948,834,1023","792,985",اا,59.5,59.5191216,36.33978030555556
GS__1745,"777,1328,910,1423","843,1375",مشما,62.6875,59.5191216,36.33978030555556
GS__1754,"1639,1165,1783,1230","1711,1197",نازگ,116.9375,59.5188813,36.33888411111111
GS__1756,"3567,1186,3696,1261","3631,1223",رایشگاه .,238.9375,59.5188102,36.33863138888889
GS__1757,"4737,1337,4957,1457","4847,1397",آوایشگاه ل7,314.9375,59.518785,36.33853388888889
GS__1759,"1640,1055,1671,1104","1655,1079",(,115.4375,59.5187457,36.3383715
GS__1762,"2414,1086,2521,1163","2467,1124",اامارئت ],166.1875,59.5186549,36.338040694444445
GS__1763,"952,1187,1272,1315","1112,1251",|9 امآرکت,82.5,59.5186132,36.337891194444445
GS__1763,"251,1440,336,1494","293,1467",طباطبائی,31.3125,59.5186132,36.337891194444445
GS__1764,"2788,1127,2909,1154","2848,1140",زيبايئ   خودرو  مالتل,192.0,59.5185878,36.3378085
GS__1764,"554,1409,724,1481","639,1445",نور مارکت ٢٠٩١٥٠٧٥,53.9375,59.5185878,36.3378085
GS__1764,"100,1450,274,1547","187,1498",  مارثت,25.6875,59.5185878,36.3378085
GS__1765,"3928,1132,4120,1231","4024,1181",مانتل  خودرو زیبایح,262.5,59.5185524,36.337665388888894
GS__1772,"3491,1136,3646,1220","3568,1178",5لئ٧| ٤11445=7 01|47573 ٠٥١٧٦٥٢٢,236.0,59.5183077,36.33679488888889
GS__1773,"4615,1247,4874,1390","4744,1318",چدف لاتومپیل خلمات ولگ لچاوگرا د بودخگیلاالی دیلثی ٥٢٠٢٠ ٥٥٥٥٥٧,309.5,59.5182773,36.336688
GS__1780,"1196,1376,1267,1412","1231,1394",فبلمان خلله,179.9375,59.51664930555555,36.33688780555556
GS__1783,"3365,620,3475,635","3420,627",اا٨د  ا بدم,46.75,59.516618,36.33714488888889
GS__1783,"3303,545,3389,596","3346,570",آه,42.125,59.516618,36.33714488888889
GS__1784,"1478,349,1941,897","1709,623",٨_,298.8125,59.516646,36.33724930555556
GS__1792,"3968,1327,4068,1391","4018,1359",٥؟,83.125,59.5169006,36.3381845
GS__1795,"5303,920,5339,947","5321,933",[3,162.5625,59.5170305,36.33866530555556
GS__1795,"5411,885,5512,925","5461,905",كروهساخمانى,171.3125,59.5170305,36.33866530555556
GS__1796,"5534,1025,5608,1045","5571,1035",رودساختمانى,179.1875,59.5170548,36.33876580555556
GS__1799,"924,1509,1078,1551","1001,1530",ساز ٠٣٦٥١١١٣,257.5625,59.5171668,36.339151694444446
GS__1814,"3802,1100,3989,1205","3895,1152",زیبایی آرا حسینیور,257.4375,59.51536988888889,36.33932319444445
GS__1815,"5035,1358,5108,1422","5071,1390",ٰرزا د,329.9375,59.5153295,36.33918588888889
GS__1819,"3908,637,4110,668","4009,652",;77==_=,266.5625,59.51518519444444,36.3386915
